Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
84,Jordan Clarkson\clarkjo01,SG,26,CLE,8,180,19.7,0.573,0.292,0.142,4.1,11,7.3,8.3,1.1,1,8.2,28.6,,0.3,0,0.3,0.078,,2.1,-5.7,-3.6,-0.1
85,Zach Collins\colliza01,C,21,POR,8,171,21.1,0.727,0.314,0.392,6,13.4,10.1,9.4,1.1,6.7,14.3,17.3,,0.6,0.3,0.8,0.236,,3.8,3.5,7.3,0.4
86,Darren Collison\collida01,PG,31,IND,8,207,14.5,0.543,0.197,0.23,1.2,7.7,4.5,24,2.9,0,15.2,17,,0.2,0.3,0.5,0.118,,-0.1,0.2,0.2,0.1
87,Mike Conley\conlemi01,PG,31,MEM,6,188,18.9,0.509,0.402,0.351,2.9,10.3,6.6,35.6,2.1,0.5,8.2,29.1,,0.2,0.3,0.5,0.134,,2.9,-0.5,2.4,0.2
88,Pat Connaughton\connapa01,SG,26,MIL,5,66,10.3,0.469,0.556,0.148,3.3,28.9,17.6,8,0.7,1.2,9.4,19.8,,0,0.2,0.1,0.083,,-3.4,1,-2.4,0
89,Quinn Cook\cookqu01,PG,25,GSW,7,72,9.7,0.547,0.429,0.25,1.7,7.1,4.6,8.6,1.3,0,13.9,21.1,,0,0,0,0.033,,-2,-4,-5.9,-0.1
90,Robert Covington\covinro01,SF,28,PHI,9,313,13.2,0.605,0.644,0.189,1.9,14.6,8.3,4.5,2.9,4.2,13.3,14.7,,0.1,0.6,0.7,0.112,,-0.3,3.3,3,0.4
91,Allen Crabbe\crabbal01,SG,26,BRK,7,157,3.2,0.418,0.667,0.296,1.4,15.6,8.8,7.9,0.3,1.4,14.1,19.5,,-0.3,0.1,-0.2,-0.074,,-5.9,-1.3,-7.2,-0.2
92,Torrey Craig\craigto01,SF,28,DEN,7,141,7.9,0.488,0.548,0.129,9.2,9.9,9.6,4.6,1.4,1.9,15.5,11.5,,0,0.2,0.2,0.076,,-2.4,1.9,-0.5,0.1
93,Jamal Crawford\crawfja01,SG,38,PHO,6,67,10.5,0.553,0.6,0.4,0,7.1,3.4,19.6,1.4,0,14.5,17.8,,0,0,0,0.031,,-1.4,-4.5,-5.9,-0.1
